,Artist,Title,Lyrics
14,Tame+Impala,It%27s+Not+Meant+to+Be,"I wanted her, I wanted her But she doesn't like the life that I lead She doesn't like the life that I lead Doesn't like sand stuck on her feet Or sitting around smoking weed I must seem more like a friend in need And I boast that it is meant to be But, in all honesty, I don't have a hope in hell I'm happy just to watch her move And in all honesty, I don't have a hope in hell I'm happy just to watch her move And she doesn't like the friends that I make Doesn't make friends for friendship's sake She just gets bored sitting by the lake Her soul won't surface and her heart won't ache And I boast that it is meant to be But, in all honesty, I don't have a hope in hell I'm happy just to watch her move And I thought they could cure his disease But, in all honesty, he didn't have a hope in hell Now we'll never see him move"
15,Tame+Impala,Lucidity,"I know where you went but I don't know how you got there I know where you went but I don't know how you got there Silver tongue hill where you talk up what I' d play down I would speak up but I wouldn't know what to say To say To say Lucidity, come back to me Put all five senses back to where they're meant to be Oh it's hard to tell, it breaks down There is a will, there is a way Wondering around like spare time never knew it I might suck fizzle or I might just float away And we'll go running off tonight High above, where we won't even need to recah the sky, my love Oh there will be a change in the air, nobody will be anybody else Lucidity, come back to me Put all five senses back to where they're meant to be Oh where we'll go, tip toe, tread boldly right down To the lair, ah ah ah"
16,Tame+Impala,Make+Up+Your+Mind%3F,Why won't you make up your mind? Give me a sign Why won't you make up your mind? Give me a sign Am I wasting my time living in my head? You'll be sorry when I make up mine instead Why won't you make up your mind? Give me a sign Why won't you make up your mind? Give me a sign Am I wasting my time living in my head? You'll be sorry when I make up mine instead
17,Tame+Impala,Runway%2C+Houses%2C+City%2C+Clouds,"But don't remind me of home There's everywhere I'd rather Go. It's true that some things Have to change And don't remind me of home Or I might notice where I am It's true that some things Have to change I know some things have To change And gazing out the window As I ascend into the sky But I'm the one who's Left behind There is nothing that is safe I know some things have To change Yeah, I do But don't remind me of home In case it isn't quite the same"
18,Tame+Impala,Solitude+Is+Bliss,"Cracks in the pavement underneath my shoe I care less and less about and less about you No one else around to look at me So I can look at my shadow as much as I please All the kicks that I can't compare to Making friends like they're all supposed to You will never come close to how I feel You will never come close to how I feel Space around me where my soul can breathe I've got body that my mind can leave Nothing else matters, I don't care what I miss Company's okay Solitude is bliss There's a party in my head and no one is invited And you will never come close to how I feel You will never come close to how I feel Movement doesn't flow Quite like it does when I'm alone I'll be the one who's free You and all your friends can watch me, today Don't ask me how you're supposed to feel You will never come close to how I feel You will never come close to how I feel You will never come close to how I feel You will never come close to how I feel"
19,Tame+Impala,41+Mojitos+Poolside+Dub,"Forty one mosquitoes flying in formation Not much we know, so off we go Ahhh-ahhh, ahhh-ahhh, ahhh-ahhh, ahhh-ahhh Ahhh-ahhh, ahhh-ahhh, ahhh-ahhh, ahhh-ahhh Ahhh-ahhh, ahhh-ahhh, ahhh-ahhh, ahhh-ahhh Ahhh-ahhh, ahhh-ahhh, ahhh-ahhh, ahhh-ahhh Ahhh-ahhh, ahhh-ahhh, ahhh-ahhh, ahhh-ahhh"
20,Tame+Impala,Canyons+Sunrise+Reprise,Please don't get answers from eyes You know that mine can't lie quite as well as yours Just let the spare moment flow Rounding steps as I go through the open doors Please don't deflate from a sigh I'd hold still every time but I start to shake I wander around for days Wondering what I'll say when they want the truth You will never know how hard I try To keep from waning while waiting at the start The depth of every touch is real as you need But words don't do any favors for me You will never know how hard I try To keep from waning while waiting at the start The depth of every touch is real as you need But words don't do any favors for me You will never know how hard I try To keep from waning while waiting at the start The depth of every touch is real as you need But words don't do any favors for me You will never know how hard I try To keep from waning while waiting at the start The depth of every touch is real as you need But words don't do any favors for me You will never know how hard I try To keep from waning while waiting at the start The depth of every touch is real as you need But words don't do any favors for me
21,Tame+Impala,Remember+Me,"Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh I'm the one who had your babies, I'm the one who had your babies I'm the one who had your babies, I'm the one who had your babies I'm the one who had your babies, I'm the one who had your babies I'm the one who had your babies, I'm the one who had your babies I'm the one who had your babies, I'm the one who had your babies Oh, remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me, I'm the one who had your babies, ahh Remember me"
22,Tame+Impala,That%27s+All+For+Everyone,"Written by lindsey buckingham. That's all for everyone That's all for me Last call for everyone Must be just exactly what I need I call for everyone I cry for more That's all for everyone Must be just exactly what I need That's all I need somewhere to go That's all Must be what I need That's all I need someone to know Last call Exactly what I need I can't stay I can't deceive That's all for everyone Must be just exactly what I need So that's all for everyone That's all for me Last call for everyone Must be just exactly what I need That's all I need somewhere to go That's all Must be what I need That's all I need someone to know Last call Exactly what I need That's all for everyone That's all, that's all, that's all, that's all. "
23,Tame+Impala,Apocalypse+Dreams,"This could be the day that we push through It could be the day that all our dreams come true For me and you 'Til we're at the end of just another day Are you too terrified to try your best? Just to end up with an educated guess Like success Like those times you wake up mystified Oh it feels so real in my sleep Never felt so good, so close I do with you Into the day, the strangest feeling Do you really live without the fear? Everything is changing And there’s nothing I can do My world is turning pages While I am just sitting here Well, am I getting closer? Will I ever get there? Does it even matter? Do I really need it? Wish that I'd remember And I'm on the outcome Push it out the window On and on we all go Into another morning It was only yesterday Didn’t even know you Now I’m gonna miss you Nothing ever changes No matter how long you do your hair Looks the same to everyone else Everything is changing I guess I should warn my mum But she’ll just be excited"
24,Tame+Impala,Be+Above+It,Gotta be above it Gotta be above it And I know that I gotta be above it now And I know that I can't let them bring me down And I gotta bide my time as a face in the crowd And I know that I gotta be above it now And I know that I gotta be above it now And I gotta bide my time as a face in the crowd And I know that I gotta be above it now And I cannot let them all just bring me down This time I'm just gonna take it all I'm never gonna shake it up I'll just close my eyes and make so that all the things don't affect me now I know that I gotta be above it now And I cannot let them all just bring me down This time I'm just gonna take or I'm never gonna shake it I'll just close my eyes and make so that all the things don't affect me now Gotta be above it Gotta be above it
25,Tame+Impala,Elephant,"Bet he feels like an elephant Shaking his big grey trunk for the hell of it You know that you're dreaming about being loved by him Too bad your chances are slim And it’s not like Mr. Shock To get shy when I ask who always is on top? There must be something deep down in the middle down there He’s not too easily scared He’s got friends but they got the feeling Wouldn't care too much if he just disappeared Oh, look, see there he is now coming down the stairs (Here he comes) He pulled the mirrors off his Cadillac (yeah) ‘Cause he doesn’t like it looking like he looks back He talks like his opinion is a simple fact Somebody grabbed his collar He cried the whole way home He won’t remember a thing 'til it starts again That’s how it is 'til the end (yeah)"
26,Tame+Impala,Endors+Toi,"Soothing repeat I look down at my feet It's a hypnotist's arm And it works like a charm But I won't be deprived Real worlds, surreal life Do or die There is time Go to sleep You'll be fine In the morning you'll find Real life was such a grind Off I go, day is done Where a new one's just begun"
27,Tame+Impala,Feels+Like+We+Only+Go+Backwards,"It feels like I only go backwards baby, Every part of me says go ahead, I've got my hopes up again, oh no, not again. It feels like we only go backwards, darlin' I know that you think you've set sail when you call my name But I get it inside my head all day When I realize I'm just hopin' onto the hope that Maybe, your feelings don't show It feels like I only go backwards, baby, Every part of me says go ahead, I've got my hopes up again, oh no, not again It feels like we only go backwards, darlin' The seed of all this indecision isn't me, oh no 'Cause I decided long ago But that's the way it seems to go, When trying so hard to get to something real, it feels It feels like I only go backwards, darlin', Every part of me says go ahead, I've got my hopes up again, oh no, not again It feels like we only go backwards, darlin' It feels like I only go backwards, baby, Every part of me says go ahead, I've got my hopes up again, oh no, not again It feels like we only go backwards, darlin' It feels like I only go backwards, baby, Every part of me says go ahead, I've got my hopes up again, oh no, not again It feels like we only go backwards, darlin'"
28,Tame+Impala,Keep+on+Lying,"All I give are little clues Maybe one day I'll get through But there is nothing I can do I'll just keep on lying to you I only need to say its true Your poor little heart already knew But there is nothing you can do I'll just keep on lying to you Should my cover ever blow Would you ever let it go? There is something you should know But hell if I'd ever let it show So here I am, trying to be strong It was noon, now my shadow's long I guess I'll go and tell you just as soon as I get to the end of this song To the end of this song, to the end of this song To the end of this song, to the end of this song The curse has won again Soon I'll be alone Take all you can But please understand It never really was love All I give are little clues Maybe one day I'll get through But there is nothing I can do I'll just keep on lying to you"
29,Tame+Impala,Mind+Mischief,"Feels like my life is ready to blow Me and my love we'll take it slow I hope she knows that I'll love her long I just don't know where the hell I belong How optimism led me astray Two hundred things I took the wrong way But I saw her love gauge running low I tried to fill but it overflowed Feels like my life is ready to blow Me and my love we'll take it slow I hope she knows that I'll love her long I just don't know where the hell I belong She remembers my name Could be blown way out, way out It's all going to change She remembers my name But she was only messing around Please, no more playing with my heart Ooh, go with Mr. Right just for once Ooh, no more mischief with my mind Then it all just came out Guess I'll hold it in next time No more getting it wrong I'll be frozen here on If forever we'll see But no more guessing for me Oh, I was just so sure of everything Ooh, that's what you get for dreaming aloud Oh, the day that words are clearer to me"
30,Tame+Impala,Music+to+Walk+Home+By,"But that's only when I think of you Some vision that I hold on to You know it's everything I do You know it's everything I do Can almost stand competing with the others Can almost hear the fun that I should be having Instead of all this dreaming But it's only when I think of you The mover I could turn into There must be something I can do There must be something I can do But I just don't know How to feel right A beautiful girl Is wasting my life I'm playing a part As somebody else While trying so hard To be myself I just need to hear Somebody say That this will make sense one day I guess I'm alright But they're all doing so well What I would give To be under that spell You'll know soon, you'll know soon You'll know soon, you'll know soon You'll know soon, you'll know soon, yeah Yeah-yeah-yeah, yeah-yeah-yeah In so many ways I'm somebody else I'm trying so hard To be myself I just need to hear Somebody say That this will all make Sense one day Well it's getting late I'd better go I made it this far As far as I know"
31,Tame+Impala,Nothing+That+Has+Happened+So+Far+Has+Been+Anything+We+Could+Control,"Nothing that has happened so far has Been anything we could control I have just been waiting for the perfect Time to tell you I don't know Maybe I'm just reading into it a Little deeper than I should We would make it easy we would take It slowly if only we could ""Hey, what are you doing out here? You're thinking about everything, aren't you? I know it's crazy, but just don't think of it like that Nothing has to mean anything Come on, come back inside"" Elodie Look at me Unless you're trying to hurt me Heavy blow Down I go Now I just want to let go Is it right? Is it wrong? I don't know It's not the cause I'm fighting for Anymore But it sucks to keep on running Eventually There will be A time for clearer thinking For now I weep Can't get to sleep I try to hold a good feeling I just get one Here it comes There it goes And we just might Lose the fight, yeah But it's alright It wasn't our decision Nothing that has happened so far Has been anything we could control I have just been waiting for the perfect Time to tell you that I don't know Every man is happy until Happiness is suddenly a goal I'll just be here waiting till the Doctor calls and then I'll let you know"
32,Tame+Impala,She+Just+Won%27t+Believe+Me,But she just won't believe me She just won't believe me I never meant been to see him But she just won't believe me
33,Tame+Impala,Sun%27s+Coming+Up,All those things I ever thought Would never end To think they're now all memories Sends me round the bend To watch her airplane swaying Coming in to land There my world is hanging In someone else's hands And if I have done something And you have to let me go Think of me as someone Someone that you know But if I don't hear something Pretty soon from now I'll disconnect completely See how that works out I wasn't daring Not much a chancer Oh my darling Why won't you answer? Seven a.m. Midnight in Dover Sun's coming up now I guess it's over Playing his guitar While he's dying of cancer Oh my father Why won't you answer? Seven a.m. Midnight in Dover Sun's coming up now I guess it's over
34,Tame+Impala,Why+Won%27t+They+Talk+to+Me%3F,"Out of the zone Trying to see I'm so alone Nothing for me I guess I'll go home Try to be sane Try to pretend None of it happened Oh this old tree Lonely old me Whoops-a-daisy I thought I was happy Out of the zone Now that I see I don't need them And they don't need me I guess I'll go home Try to be sane Try to pretend None of it happened Destined to be Lonely old me Whoops-a-daisy I thought I was happy Ah, why won't they talk to me? (I thought I was happy) Ah, why won't they talk to me? (I thought I was happy) Ah, why won't they talk to me? (I thought I was happy) Ah, why won't they talk to me? (Aaaah-aaaah) Ah, why won't they talk to me? But I don't even care about it anyway I wouldn't listen to a word any of them say They just talk about themselves all day One day I'll be a star and they'll be sorry Ah, why won't they talk to me?"
35,The+Flaming+Lips,Children+of+the+Moon,"One, two, one We still believe in love, we still believe in truth We know we still live and then die 'cause we still believe in you Yeah, we still believe in the power of love, we're doing what we can We're only gonna get some cosmic love and we all can jump inside Riding in our horses, holding a balloon We know that it's the future, so let's go for the moon We're children of the moon, we're children of the moon We're children of the moon I wonder what they'll do when you tell them you've gone to the moon I wonder what they'll do when you tell them you've gone to the moon I wonder what they'll do when you tell them you've gone to the moon I wonder what they'll do when you tell them you've gone to the moon I wonder what they'll do when you tell them you've gone to the moon"
36,Tame+Impala,Be+Above+It+%5BErol+Alkan+Rework%5D,Gotta be above it Gotta be above it And I know that I gotta be above it now And I know that I can't let them bring me down And I gotta bide my time as a face in the crowd And I know that I gotta be above it now And I know that I gotta be above it now And I gotta bide my time as a face in the crowd And I know that I gotta be above it now And I cannot let them all just bring me down This time I'm just gonna take it all I'm never gonna shake it up I'll just close my eyes and make so that all the things don't affect me now I know that I gotta be above it now And I cannot let them all just bring me down This time I'm just gonna take or I'm never gonna shake it I'll just close my eyes and make so that all the things don't affect me now Gotta be above it Gotta be above it
37,Tame+Impala,Backwards,"It feels like I only go backwards, lately Every part of me says go ahead I got my hopes up again, oh no, not again Feels like we only go backwards darling And we'll be screamin' out no rules, no rules Feel the energy we go through, I told you Pump my fist like I'm supposed to, I showed you My vision of the unsocial, it's so cool Look around me and you'll see the scene, who to blame? See my generation has no shame, I play the game How I see it this is inside the future, this is nothin' that you're used to I refuse to play the victim, my religion is to move ya Out your power position, my army head-on collision Can't harm me out of my own skin, government need assistance Every time that I zone in, nothing is more convincin' Than tellin' you that I won't bend, break or fake partition I can't, this is my life design, this is me taking minds This is what I live for, this is me takin' yours This is more than C4, this is what happens when We ready to build and destroy, I hope that you enjoy It feels like I only go backwards, lately Every part of me says go ahead I got my hopes up again, oh no, not again Feels like we only go backwards darling I live my life a rebel, a vigilante, devils try to get at me Pedal through this underworld, undertakers won't catch me System ain't no system for justice if you would ask me I'll tell you everything is corrupted, don't you walk past me With the condescended look I can tell you're pretendin' Like you my friends and you just a henchman, I feel relentless I feel the tension in the air thick enough to cut through it Or cut you with it I'm cut from a cloth that bred a nuisance Trespass on your property I am properly aimin' to go against ya democracy This is me changing faces 'Cause I can stand alone and die alone as long as I got pride The victory of fight is all in my eyes The night is young and I can see your demise, I'm waitin' for it You can’t ignore it, you live dormant, I die enormous Big as the lies you tell I can tell you feel defeated The truth will set you free and to me that's the only reason, capisce? It feels like I only go backwards, lately Every part of me says go ahead I got my hopes up again, oh no, not again Feels like we only go backwards darling"
38,Tame+Impala,Cause+I%27m+a+Man,"Like a brutal autumn sun It dawns on me, what have I done? Saying sorry ain't as good as saying why But it buys me a little more time Lost in the moment for a second time Each fucking doubt I make, unleash a cry I'm just pathetic, that's the reason why In desperation, all that you can do is ask me why 'Cause I'm a man, woman Don't always think before I do 'Cause I'm a man, woman It's the only answer I've got for you 'Cause I'm a man, woman Not often proud of what I choose I'm a human, woman A greater force I answer to Once again, as it takes a hold I am aware, I'm not in control (You see) I have a conscience and it's never fooled But it's prone to being overruled You wanna know what I always think I'm bind by You never accept defeat or let it slide But I have no voice if I don't speak my mind My weakness is the source of all my pride I'll tell you why 'Cause I'm a man, woman Don't always think before I do 'Cause I'm a man, woman That's the only answer I've got for you 'Cause I'm a man, woman I'll never be as strong as you I'm a human, human A greater force I answer to"
39,Tame+Impala,The+Less+I+Know+the+Better,"Someone said they left together I ran out the door to get her She was holding hands with Trevor Not the greatest feeling ever Said, ""Pull yourself together You should try your luck with Heather"" Then I heard they slept together Oh, the less I know the better The less I know the better Oh my love, can't you see yourself by my side No surprise when you're on his shoulder like every night Oh my love, can't you see that you're on my mind Don't suppose we could convince your lover to change his mind So goodbye She said, ""It's not now or never Wait ten years, we'll be together"" I said, ""Better late than never Just don't make me wait forever"" Don't make me wait forever Don't make me wait forever Oh my love, can't you see yourself by my side? I don't suppose you could convince your lover to change his mind I was doing fine without you 'Til I saw your face, now I can't erase Giving in to all his bullshit Is this what you want, is this who you are? I was doing fine without you 'Til I saw your eyes turn away from mine Oh, sweet darling, where he wants you Said, ""Come on Superman, say your stupid line"" Said, ""Come on Superman, say your stupid line"" Said, ""Come on Superman, say your stupid line"""
40,Tame+Impala,Let+It+Happen,"It's always around me, all this noise But not nearly as loud as the voice saying ""Let it happen, let it happen (It's gonna feel so good) Just let it happen, let it happen"" All this running around Trying to cover my shadow An ocean growing inside All the others seem shallow All this running around Bearing down on my shoulders I can hear an alarm Must be a warning I heard about a whirlwind that's coming 'round It's gonna carry off all that isn't bound And when it happens, when it happens (I'm gonna be holding on) So let it happen, let it happen All this running around I can't fight it much longer Something's trying to get out And it's never been closer If my ticker fails Make up some other story And if I never come back Tell my mother I'm sorry I will not vanish and you will not scare me Try to get through it, try to bounce to it All the while thinking I might as well do it They be lovin' someone and I'm not that stupid Take the next ticket to take the next train Why would I do it? And you wanna think that I will not vanish and you will not scare me Try to get through it, try to bounce to it All the while thinking I might as well do it They be lovin' someone and I'm not that stupid Take the next ticket to take the next train Why would I do it? And you wanna think that I will not vanish and you will not scare me Try to get through it, try to bounce to it All the while thinking I might as well do it They be lovin' someone and I'm not that stupid Take the next ticket to take the next train Why would I do it? And you wanna think that I will not vanish and you will not scare me Try to get through it, try to bounce to it All the while thinking I might as well do it They be lovin' someone and I'm not that stupid Take the next ticket to take the next train Why would I do it? And you wanna think that Oh, maybe I was ready all along Oh, maybe I was ready all along Oh, maybe all I wanted was the sound Oh but maybe I was ready all along"
41,Tame+Impala,Love-Paranoia,"I may not be as honest as I ought to be now When the walls go up, I said it didn't worry me But it hit me and I cannot hold it in I can just be paranoid, don't quell the desire to love What was really going on, does it really fucking matter? Baby is all you can ask me, ok, fair play here we go I've heard those words before Are you sure it was nothing Cause it made me feel like dying inside And I was insecure, but it's pure Didn't notice until I was in love for real And my feels gonna cross the line Just to find what your type is If only I could reach your mind Oh I'd be fine, I'd be normal Now's my time, gonna do it And suddenly I'm the phony one The only one with a problem True love it bringing it out of me The worst of me, and I know now Do you remember the time we were The time we were by the ocean I didn't care if it was day or night We were right where I wanted Girl I'm sorry, babe I'm really really sorry"
42,Tame+Impala,The+Moment,"In the end, it's stronger than I know how to be And I can't just spend my whole lifetime wondering I fell in love with the sound of my heels on the wooden floor I don't want our footsteps to be silent anymore Want them to be in the moment Storm clouds are closing in In the end, it's gone, and there's nothing left to do But I'm still not certain just how I'm gonna feel I only know in the moment And this sensation ain't rolling It's getting closer, oh It's getting closer It's getting closer, oh It's getting closer (it's right on time) It's getting closer (closer every day) It's getting closer (don't cry you'll be okay) It's getting closer (closer call it a day) It's getting closer (hold on, breathe if you can) It's getting closer (I'm not dead yet) It's getting closer (it's right on time) It's getting closer (breathe if you can) It's getting closer (I'm not dead yet)"
43,Tame+Impala,Nangs,But is there something more than that?
